hta_id,agency,assessment_date,assessment_year,technology_category,therapeutic_area,n_rcts,n_observational_studies,total_patients_evidence,primary_endpoint_met,effect_size,serious_adverse_events_rate,discontinuation_rate,icer_per_qaly,willingness_to_pay_threshold,budget_impact_annual,certainty_of_evidence,cost_effectiveness_score,clinical_benefit_score,innovation_score,decision,reimbursement_rate,time_to_decision_months,market_exclusivity_years,managed_entry_agreement,manufacturer_appeals
HTA0747,TLV (Sweden),2022-05-22,2022,Gene Therapy,Respiratory,12,12,5973,True,0.235,0.1904,0.0562,43861.7,100000,38164126.84,Low,9.55,7.45,5.43,Restricted,0.692,7,15,True,False
HTA0748,SMC (Scotland),2022-05-14,2022,Immunotherapy,Gastroenterology,16,10,3639,True,0.953,0.1163,0.1558,148062.61,100000,27926744.98,Moderate,4.64,2.53,2.82,Conditional,0.667,21,1,False,False
HTA0749,CADTH (Canada),2019-10-15,2019,Pharmaceuticals,Immunology,2,3,6151,True,0.713,0.0201,0.289,49580.19,100000,56380129.22,Very Low,3.75,1.44,7.08,Conditional,0.615,9,18,False,False
HTA0750,IQWIG (Germany),2023-04-07,2023,Diagnostic Tests,Infectious Disease,7,1,6801,True,2.484,0.0129,0.2393,88181.66,100000,91506670.18,Moderate,5.89,5.24,3.42,Conditional,0.322,13,12,True,False
HTA0751,CVZ (Netherlands),2023-01-11,2023,Medical Devices,Gastroenterology,2,7,7458,False,-0.154,0.0993,0.2634,44780.37,100000,70158577.03,Moderate,1.97,5.81,6.0,Conditional,0.343,23,8,True,False
HTA0752,IQWIG (Germany),2024-06-18,2024,Immunotherapy,Infectious Disease,6,13,9492,True,1.468,0.2321,0.1367,129008.92,100000,92125735.87,Very Low,9.57,8.58,6.34,Recommended,0.882,19,7,False,False
HTA0753,CADTH (Canada),2018-05-23,2018,Gene Therapy,Immunology,13,14,3828,False,-0.483,0.1072,0.3742,56207.39,100000,46414153.6,Very Low,2.79,1.59,8.73,Conditional,0.647,12,6,True,False
HTA0754,TLV (Sweden),2024-01-27,2024,Preventive Interventions,Cardiology,20,3,4272,False,0.456,0.2211,0.253,69467.81,100000,77710134.81,Low,5.84,1.79,9.33,Restricted,0.637,15,19,True,False
HTA0755,IQWIG (Germany),2020-09-07,2020,Surgical Procedures,Infectious Disease,16,6,3613,False,0.465,0.2042,0.3791,25387.84,100000,8046503.09,Low,3.61,8.45,7.05,Restricted,0.791,22,13,False,False
HTA0756,IQWIG (Germany),2022-07-12,2022,Medical Devices,Gastroenterology,8,1,2303,True,1.974,0.2059,0.328,124441.49,100000,21935755.85,Moderate,5.36,9.01,3.67,Restricted,0.779,4,1,True,False
HTA0757,IQWIG (Germany),2023-11-26,2023,Surgical Procedures,Endocrinology,3,10,4691,False,0.166,0.1654,0.1362,62254.26,100000,68647061.61,Low,3.84,2.94,6.34,Conditional,0.327,21,17,False,False
HTA0758,NCPE (Ireland),2023-05-17,2023,Gene Therapy,Neurology,5,13,4426,True,2.027,0.0783,0.2514,22869.03,100000,69330866.89,Low,1.39,7.08,4.73,Conditional,0.35,10,16,False,False
HTA0759,TLV (Sweden),2020-04-20,2020,Immunotherapy,Oncology,10,13,1519,True,1.956,0.0581,0.2527,72661.98,100000,42564039.45,Low,4.94,1.68,9.52,Restricted,0.776,11,13,False,False
HTA0760,NICE (UK),2019-02-13,2019,Diagnostic Tests,Immunology,24,5,1519,True,-0.018,0.0285,0.1218,108745.21,50000,81083803.41,Moderate,5.56,1.29,1.62,Not Recommended,0.0,22,14,False,False
HTA0761,HAS (France),2021-01-21,2021,Immunotherapy,Cardiology,17,3,2464,True,1.521,0.1513,0.2517,14523.72,100000,25658606.38,Low,1.16,3.26,3.06,Not Recommended,0.0,18,10,False,False
HTA0762,TLV (Sweden),2023-03-18,2023,Rehabilitation Technologies,Cardiology,22,3,5814,True,0.223,0.0634,0.3833,143993.21,100000,72758305.98,Low,9.27,5.6,6.66,Restricted,0.626,14,3,False,False
HTA0763,CADTH (Canada),2024-05-06,2024,Immunotherapy,Infectious Disease,24,14,1048,True,1.935,0.1717,0.1346,82785.43,100000,40783381.52,Very Low,6.47,2.43,5.52,Conditional,0.645,3,10,True,False
HTA0764,CADTH (Canada),2024-01-08,2024,Pharmaceuticals,Respiratory,2,9,5104,False,-0.139,0.045,0.1663,71013.33,100000,53807330.14,Moderate,5.91,8.58,2.53,Restricted,0.595,9,7,True,False
HTA0765,NICE (UK),2021-11-01,2021,Diagnostic Tests,Gastroenterology,14,0,4873,False,0.066,0.0207,0.3288,62488.94,50000,16213938.7,Low,2.78,9.29,4.98,Restricted,0.723,5,18,True,False
HTA0766,NICE (UK),2018-03-19,2018,Digital Health,Oncology,4,2,7410,False,0.349,0.1328,0.2973,32949.04,50000,69151273.79,Moderate,8.49,1.75,7.96,Restricted,0.53,10,0,False,False
HTA0767,CADTH (Canada),2018-05-11,2018,Rehabilitation Technologies,Infectious Disease,3,10,1197,True,1.922,0.1021,0.2151,130983.36,100000,42069949.01,Moderate,1.18,2.43,6.78,Conditional,0.587,23,6,False,False
HTA0768,IQWIG (Germany),2023-07-04,2023,Surgical Procedures,Respiratory,19,11,5752,True,1.728,0.0514,0.0611,70419.35,100000,86698121.14,Moderate,1.12,1.99,4.27,Not Recommended,0.0,7,17,False,True
HTA0769,NICE (UK),2018-01-01,2018,Rehabilitation Technologies,Hematology,7,3,4794,True,1.547,0.0944,0.1287,45357.43,50000,18849134.24,Very Low,2.52,8.95,6.15,Restricted,0.76,22,15,True,False
HTA0770,HAS (France),2023-03-18,2023,Surgical Procedures,Endocrinology,15,7,2165,True,1.418,0.1197,0.1901,90963.54,100000,49635495.22,Moderate,6.03,7.03,1.24,Conditional,0.486,9,12,False,False
HTA0771,CVZ (Netherlands),2020-02-28,2020,Immunotherapy,Immunology,23,3,7380,True,1.796,0.1886,0.3662,6230.47,100000,22451740.15,Low,7.04,9.05,1.51,Restricted,0.679,15,9,False,False
HTA0772,CADTH (Canada),2021-02-10,2021,Rehabilitation Technologies,Oncology,3,6,2250,False,0.242,0.1295,0.3642,145126.56,100000,36862398.75,Low,6.96,4.63,3.85,Restricted,0.78,4,1,False,False
HTA0773,NICE (UK),2018-05-12,2018,Preventive Interventions,Gastroenterology,6,14,9597,True,1.614,0.2142,0.384,35590.55,50000,50888971.76,Low,3.23,6.4,3.32,Conditional,0.433,10,12,False,False
HTA0774,HAS (France),2022-03-04,2022,Diagnostic Tests,Neurology,19,1,5500,False,-0.331,0.0361,0.3123,49247.96,100000,95198444.48,Low,3.94,3.61,5.71,Conditional,0.332,15,18,True,False
HTA0775,CVZ (Netherlands),2019-07-18,2019,Preventive Interventions,Oncology,7,0,6690,True,0.11,0.1445,0.1629,124371.19,100000,78713941.46,Low,6.07,4.17,6.45,Restricted,0.527,6,17,False,False
HTA0776,CADTH (Canada),2024-05-19,2024,Preventive Interventions,Hematology,3,8,1856,False,-0.208,0.2208,0.1491,121877.61,100000,21728752.01,Moderate,2.73,3.38,8.51,Conditional,0.556,11,14,True,False
HTA0777,CVZ (Netherlands),2023-06-16,2023,Screening Programs,Endocrinology,19,6,8582,True,1.16,0.1034,0.3994,146593.54,100000,96212792.29,Very Low,8.14,9.9,9.03,Recommended,0.883,8,0,False,False
HTA0778,IQWIG (Germany),2018-10-16,2018,Digital Health,Endocrinology,17,10,4375,True,1.051,0.0572,0.3152,97973.95,100000,92436664.13,Low,2.63,8.2,6.78,Restricted,0.701,22,19,True,False
HTA0779,TLV (Sweden),2020-12-19,2020,Preventive Interventions,Rheumatology,6,9,7799,True,0.586,0.1906,0.1813,75470.5,100000,41301412.31,Low,4.21,9.67,9.43,Recommended,0.97,13,10,False,False
HTA0780,NICE (UK),2022-07-25,2022,Rehabilitation Technologies,Oncology,9,7,6009,True,2.183,0.2132,0.1346,105303.13,50000,7452027.59,Very Low,4.14,8.49,3.87,Restricted,0.69,11,0,True,False
HTA0781,CADTH (Canada),2022-02-26,2022,Digital Health,Endocrinology,16,1,3557,True,1.128,0.0561,0.2381,45449.99,100000,29609307.52,Low,1.27,4.43,4.67,Conditional,0.494,19,3,False,False
HTA0782,CADTH (Canada),2018-06-28,2018,Diagnostic Tests,Cardiology,7,5,3823,False,-0.012,0.0238,0.378,90008.84,100000,70220126.6,Moderate,8.51,1.3,3.42,Conditional,0.488,14,7,False,False
HTA0783,G-BA (Germany),2020-10-14,2020,Immunotherapy,Endocrinology,21,7,8394,True,2.423,0.1608,0.2077,16420.34,100000,67296455.0,High,7.04,9.81,5.79,Recommended,0.843,12,13,False,False
HTA0784,IQWIG (Germany),2018-01-08,2018,Screening Programs,Endocrinology,3,13,1588,False,-0.049,0.011,0.1906,32086.12,100000,62815648.26,Low,5.39,1.36,6.91,Conditional,0.637,7,17,True,False
HTA0785,CADTH (Canada),2021-09-16,2021,Preventive Interventions,Oncology,9,10,5039,True,0.621,0.1617,0.2328,51301.16,100000,15297967.64,Low,3.57,3.1,4.59,Conditional,0.614,5,2,False,False
HTA0786,CVZ (Netherlands),2021-01-26,2021,Immunotherapy,Respiratory,7,14,7150,True,0.43,0.1895,0.2449,133028.11,100000,31429899.2,Low,7.78,2.36,4.61,Conditional,0.493,20,15,False,False
HTA0787,G-BA (Germany),2023-07-20,2023,Pharmaceuticals,Cardiology,12,1,8350,True,-0.293,0.2175,0.1499,94182.42,100000,97932104.8,Low,7.52,5.01,1.54,Conditional,0.619,21,15,False,False
HTA0788,CADTH (Canada),2022-09-02,2022,Gene Therapy,Endocrinology,22,10,2477,True,0.104,0.2485,0.2225,88065.57,100000,17475598.37,Low,3.08,2.71,3.05,Not Recommended,0.0,6,19,False,False
HTA0789,NICE (UK),2021-07-25,2021,Screening Programs,Respiratory,15,12,8435,False,-0.134,0.1566,0.3685,119678.9,50000,56774516.86,High,6.87,5.74,2.66,Restricted,0.765,8,12,False,False
HTA0790,HAS (France),2019-09-23,2019,Screening Programs,Hematology,22,1,2338,False,-0.423,0.0924,0.2905,77295.01,100000,19876918.73,Low,4.67,4.51,8.29,Restricted,0.622,15,12,True,False
HTA0791,NICE (UK),2020-03-14,2020,Preventive Interventions,Rheumatology,10,0,9717,True,1.175,0.1988,0.3535,20242.27,50000,36281077.11,Low,1.31,7.22,5.75,Conditional,0.415,17,3,False,False
HTA0792,TLV (Sweden),2020-05-18,2020,Preventive Interventions,Gastroenterology,14,2,4340,True,1.893,0.1804,0.2346,79610.2,100000,9660480.97,Low,9.2,1.84,3.37,Conditional,0.661,6,4,True,False
HTA0793,SMC (Scotland),2019-08-14,2019,Screening Programs,Rheumatology,14,3,4282,False,0.171,0.1645,0.1353,8240.02,100000,81062824.29,Moderate,3.76,1.92,1.56,Not Recommended,0.0,3,11,False,False
HTA0794,NICE (UK),2024-12-13,2024,Surgical Procedures,Respiratory,5,11,8169,True,0.06,0.2329,0.257,22574.48,50000,19218956.6,Very Low,7.64,7.61,1.65,Restricted,0.769,5,2,True,False
HTA0795,NCPE (Ireland),2020-09-28,2020,Pharmaceuticals,Gastroenterology,14,11,4853,False,-0.102,0.0595,0.2428,21057.75,100000,29596261.21,Moderate,4.57,2.0,1.29,Not Recommended,0.0,4,2,False,False
HTA0796,TLV (Sweden),2020-12-25,2020,Medical Devices,Neurology,1,1,5203,False,-0.038,0.203,0.0894,17259.13,100000,5380182.63,Moderate,7.36,2.17,6.75,Restricted,0.643,23,17,True,False
HTA0797,SMC (Scotland),2021-03-27,2021,Medical Devices,Oncology,5,6,4909,True,1.094,0.0757,0.3744,76083.36,100000,84358773.37,Moderate,7.46,4.03,6.62,Restricted,0.65,15,3,False,False
HTA0798,PBAC (Australia),2022-12-28,2022,Diagnostic Tests,Infectious Disease,4,11,7990,False,0.253,0.1205,0.2002,135114.15,100000,29557376.69,Moderate,9.45,8.28,8.39,Recommended,0.839,14,2,False,False
HTA0799,NICE (UK),2024-11-18,2024,Digital Health,Oncology,14,10,9772,True,2.449,0.0688,0.1817,48657.64,50000,11852873.65,Moderate,4.41,7.25,8.36,Restricted,0.663,4,16,True,False
HTA0800,CVZ (Netherlands),2020-09-22,2020,Diagnostic Tests,Endocrinology,17,8,8300,True,2.469,0.0825,0.1471,130342.01,100000,1333921.41,Moderate,6.31,2.46,9.87,Restricted,0.639,15,2,False,False
HTA0801,TLV (Sweden),2023-09-17,2023,Screening Programs,Neurology,3,1,2619,True,0.356,0.1349,0.3483,107593.08,100000,62566432.98,Moderate,3.69,2.07,4.68,Conditional,0.311,20,2,False,False
HTA0802,SMC (Scotland),2020-11-27,2020,Diagnostic Tests,Rheumatology,8,4,1047,False,-0.401,0.2152,0.0501,132930.76,100000,2952253.49,Low,4.26,7.64,4.62,Restricted,0.521,16,10,False,False
HTA0803,CADTH (Canada),2024-08-04,2024,Pharmaceuticals,Neurology,10,1,3377,False,-0.124,0.1315,0.1771,42276.86,100000,75352263.19,Moderate,4.85,4.63,7.41,Restricted,0.775,10,14,False,False
HTA0804,PBAC (Australia),2020-10-15,2020,Preventive Interventions,Endocrinology,24,0,6899,False,-0.187,0.1022,0.3683,126351.0,100000,66839763.13,Moderate,2.05,1.14,1.96,Not Recommended,0.0,12,16,False,False
HTA0805,SMC (Scotland),2023-11-12,2023,Gene Therapy,Respiratory,14,4,7415,True,1.814,0.0215,0.3013,137076.91,100000,35349930.84,High,3.1,6.06,9.48,Restricted,0.654,18,15,True,False
HTA0806,IQWIG (Germany),2024-11-24,2024,Preventive Interventions,Hematology,16,9,180,False,0.048,0.0784,0.3773,105173.42,100000,22849339.57,Low,8.83,7.27,3.2,Restricted,0.695,19,9,True,False
HTA0807,SMC (Scotland),2021-12-16,2021,Medical Devices,Respiratory,22,10,4795,True,-0.34,0.156,0.3004,59057.45,100000,68287910.88,Low,9.42,1.58,2.73,Conditional,0.327,4,5,True,False
HTA0808,IQWIG (Germany),2023-08-04,2023,Digital Health,Endocrinology,5,6,1453,True,0.238,0.1753,0.3622,96686.78,100000,35387159.25,Moderate,7.77,1.61,2.95,Conditional,0.485,14,8,True,False
HTA0809,CVZ (Netherlands),2021-10-13,2021,Pharmaceuticals,Oncology,14,0,1499,True,-0.084,0.0377,0.155,149325.58,100000,33323197.8,Very Low,4.53,4.95,8.17,Restricted,0.528,6,5,True,False
HTA0810,HAS (France),2019-06-27,2019,Immunotherapy,Infectious Disease,14,5,225,True,-0.01,0.2093,0.1636,65763.47,100000,68565161.53,Moderate,6.66,8.97,8.18,Recommended,0.876,3,19,False,False
HTA0811,NICE (UK),2022-05-07,2022,Medical Devices,Oncology,19,13,4987,False,0.088,0.0764,0.1892,103638.52,50000,89190377.54,High,1.64,3.93,3.1,Not Recommended,0.0,6,7,False,False
HTA0812,CVZ (Netherlands),2024-01-28,2024,Pharmaceuticals,Cardiology,1,1,4199,True,-0.412,0.0916,0.2546,52642.28,100000,3658343.45,Moderate,1.95,6.57,6.58,Restricted,0.511,21,3,False,False
HTA0813,PBAC (Australia),2020-07-25,2020,Preventive Interventions,Immunology,13,10,5231,True,-0.07,0.0424,0.1397,146158.54,100000,38631569.03,Low,7.34,7.68,7.19,Restricted,0.601,5,9,False,False
HTA0814,HAS (France),2019-06-06,2019,Gene Therapy,Rheumatology,22,11,5073,True,0.019,0.0435,0.1484,34589.99,100000,94639500.2,High,2.91,1.73,9.82,Conditional,0.667,15,14,False,False
HTA0815,HAS (France),2021-07-01,2021,Digital Health,Infectious Disease,2,10,9118,True,1.253,0.1029,0.062,63391.69,100000,92033002.67,Moderate,3.91,1.59,6.54,Conditional,0.64,19,4,False,False
HTA0816,NICE (UK),2023-05-06,2023,Gene Therapy,Respiratory,14,2,9708,True,2.394,0.1472,0.3782,6100.76,50000,57694387.74,Low,7.71,9.14,1.04,Restricted,0.5,4,13,True,False
HTA0817,PBAC (Australia),2019-04-01,2019,Medical Devices,Rheumatology,19,13,8666,False,-0.292,0.1407,0.3956,119842.79,100000,99343382.59,Very Low,5.41,7.27,1.99,Conditional,0.476,5,17,True,False
HTA0818,IQWIG (Germany),2022-08-22,2022,Gene Therapy,Neurology,2,14,1875,False,-0.082,0.1901,0.2418,60371.4,100000,81177765.09,Low,4.52,1.99,9.06,Restricted,0.511,16,4,False,False
HTA0819,NCPE (Ireland),2024-04-18,2024,Diagnostic Tests,Endocrinology,14,9,4233,True,2.202,0.0223,0.3038,8381.74,100000,18280994.04,Very Low,4.25,8.38,4.38,Restricted,0.752,12,17,False,False
HTA0820,TLV (Sweden),2019-06-23,2019,Medical Devices,Neurology,12,5,7638,True,1.216,0.2415,0.3564,132010.42,100000,18430636.57,Moderate,1.69,8.01,1.63,Conditional,0.523,12,13,True,False
HTA0821,PBAC (Australia),2022-02-06,2022,Digital Health,Infectious Disease,21,1,5087,True,1.286,0.1756,0.1875,132557.66,100000,98000513.15,Moderate,4.52,5.25,8.67,Restricted,0.694,17,7,True,False
HTA0822,NICE (UK),2023-10-27,2023,Digital Health,Gastroenterology,19,7,534,True,0.19,0.0911,0.3994,124685.09,50000,88506279.68,Very Low,4.07,3.67,3.11,Conditional,0.632,19,5,True,False
HTA0823,CADTH (Canada),2021-09-22,2021,Screening Programs,Endocrinology,1,12,6333,True,1.739,0.2333,0.3677,13258.17,100000,21364725.2,Moderate,4.88,6.77,9.5,Restricted,0.534,15,1,False,False
HTA0824,G-BA (Germany),2023-10-09,2023,Rehabilitation Technologies,Gastroenterology,11,5,8453,False,0.058,0.1458,0.1541,89753.38,100000,44524589.73,Moderate,1.6,3.27,2.78,Not Recommended,0.0,16,3,False,False
HTA0825,CVZ (Netherlands),2020-02-13,2020,Rehabilitation Technologies,Hematology,22,9,9021,True,-0.349,0.1668,0.348,141656.39,100000,99734740.55,Moderate,6.18,5.06,6.07,Restricted,0.547,21,19,False,False
HTA0826,SMC (Scotland),2021-05-21,2021,Gene Therapy,Hematology,3,1,1387,True,2.0,0.0935,0.062,44770.65,100000,99004615.4,Low,9.11,7.97,5.86,Recommended,0.83,16,10,False,False
HTA0827,IQWIG (Germany),2023-04-25,2023,Medical Devices,Gastroenterology,15,9,9357,True,1.568,0.0911,0.3887,19718.06,100000,50276934.88,Moderate,3.93,6.81,2.18,Conditional,0.587,11,4,True,False
HTA0828,SMC (Scotland),2018-08-22,2018,Pharmaceuticals,Oncology,13,0,6981,True,0.915,0.2351,0.3262,144854.71,100000,61224695.26,Moderate,8.44,3.62,2.48,Conditional,0.583,6,4,True,False
HTA0829,HAS (France),2022-05-08,2022,Preventive Interventions,Oncology,22,5,3577,True,1.518,0.1757,0.0661,54117.95,100000,41764690.47,High,3.12,1.46,9.97,Conditional,0.595,10,7,False,False
HTA0830,G-BA (Germany),2024-04-17,2024,Diagnostic Tests,Hematology,16,6,2973,False,0.456,0.1493,0.2887,53933.83,100000,38771241.77,Low,9.35,6.66,8.11,Recommended,0.834,7,10,False,False
HTA0831,NCPE (Ireland),2022-07-05,2022,Screening Programs,Neurology,6,1,2827,True,2.478,0.1594,0.0625,7507.63,100000,32715835.08,Moderate,8.32,8.6,3.33,Restricted,0.598,12,0,True,False
HTA0832,TLV (Sweden),2020-02-20,2020,Medical Devices,Respiratory,7,6,3724,True,1.273,0.0804,0.1023,58443.62,100000,42104566.28,Low,9.23,1.33,3.19,Conditional,0.377,23,18,False,False
HTA0833,G-BA (Germany),2018-11-04,2018,Surgical Procedures,Immunology,4,8,3819,False,-0.265,0.0574,0.0523,107492.43,100000,93809251.59,Moderate,6.73,7.72,9.35,Recommended,0.929,6,15,False,False
HTA0834,HAS (France),2023-11-01,2023,Digital Health,Gastroenterology,15,7,8738,True,1.067,0.0964,0.0556,86555.1,100000,13252305.94,High,7.8,1.09,9.63,Restricted,0.655,14,19,False,False
HTA0835,CVZ (Netherlands),2023-07-28,2023,Medical Devices,Rheumatology,17,13,6767,True,1.75,0.2371,0.1822,131447.75,100000,39978320.25,Moderate,1.03,3.97,4.41,Conditional,0.678,7,0,True,False
HTA0836,TLV (Sweden),2022-02-26,2022,Digital Health,Cardiology,12,13,6814,True,1.704,0.1428,0.1358,56300.42,100000,64218701.03,Low,2.23,8.6,5.28,Restricted,0.549,22,3,False,False
HTA0837,SMC (Scotland),2022-04-28,2022,Surgical Procedures,Rheumatology,8,10,9302,True,0.098,0.1291,0.3651,51741.49,100000,65549446.92,Low,8.01,6.08,4.62,Restricted,0.79,6,8,True,False
HTA0838,SMC (Scotland),2021-02-22,2021,Preventive Interventions,Oncology,4,8,4497,True,1.296,0.1165,0.2589,47177.56,100000,71829645.4,Low,3.34,3.71,6.95,Conditional,0.578,9,4,False,False
HTA0839,CADTH (Canada),2019-09-21,2019,Rehabilitation Technologies,Immunology,24,11,8479,False,0.407,0.1081,0.3463,27918.89,100000,3142537.67,Low,1.67,9.9,7.07,Restricted,0.726,22,2,False,False
HTA0840,PBAC (Australia),2022-12-12,2022,Diagnostic Tests,Gastroenterology,14,6,9710,False,0.081,0.1359,0.3358,113653.6,100000,40632193.15,High,7.92,2.52,1.15,Conditional,0.637,19,18,False,False
HTA0841,CVZ (Netherlands),2021-03-06,2021,Gene Therapy,Immunology,11,3,4544,True,0.639,0.1871,0.1025,78196.29,100000,22019827.0,High,6.56,9.57,3.8,Restricted,0.674,12,2,True,False
HTA0842,NCPE (Ireland),2019-11-06,2019,Rehabilitation Technologies,Respiratory,20,4,2320,False,0.045,0.2319,0.2503,15097.27,100000,55734069.96,Low,2.93,5.24,5.13,Conditional,0.549,17,14,True,False
HTA0843,NCPE (Ireland),2019-07-24,2019,Gene Therapy,Oncology,21,12,6798,True,0.721,0.2409,0.2328,85210.62,100000,94218502.84,Very Low,8.96,1.88,6.71,Restricted,0.742,12,16,True,False
HTA0844,IQWIG (Germany),2020-07-12,2020,Immunotherapy,Cardiology,22,12,9994,True,0.482,0.2465,0.1789,81375.13,100000,84981132.33,Moderate,3.92,5.71,2.03,Conditional,0.352,12,4,True,False
HTA0845,G-BA (Germany),2018-11-28,2018,Rehabilitation Technologies,Gastroenterology,22,1,3014,False,-0.396,0.0103,0.2079,27537.83,100000,74060651.85,Very Low,1.38,4.56,9.97,Restricted,0.72,3,13,False,False
HTA0846,TLV (Sweden),2019-11-14,2019,Immunotherapy,Hematology,5,8,7324,True,0.308,0.209,0.0523,37351.67,100000,60918835.0,High,5.2,4.93,8.67,Restricted,0.688,23,10,True,False
HTA0847,CADTH (Canada),2021-03-04,2021,Digital Health,Hematology,24,2,1632,True,1.822,0.1067,0.3029,104177.15,100000,96375944.46,Moderate,5.97,6.42,9.99,Restricted,0.56,9,5,False,False
HTA0848,NICE (UK),2020-06-26,2020,Preventive Interventions,Endocrinology,16,12,9279,True,-0.352,0.2381,0.2534,123141.46,50000,42888701.56,Very Low,5.35,6.17,5.43,Restricted,0.72,6,3,False,False
HTA0849,TLV (Sweden),2023-10-03,2023,Medical Devices,Oncology,20,3,9369,False,-0.424,0.0936,0.3379,99021.47,100000,29705873.86,Low,5.44,5.49,9.79,Restricted,0.784,14,15,False,False
HTA0850,NICE (UK),2020-05-02,2020,Immunotherapy,Gastroenterology,8,9,5930,True,-0.482,0.0617,0.0587,114408.23,50000,15418933.81,Low,6.79,3.06,2.42,Conditional,0.551,4,9,True,False
HTA0851,SMC (Scotland),2023-01-15,2023,Pharmaceuticals,Cardiology,12,10,6003,True,1.354,0.092,0.0601,62287.84,100000,93117601.14,Low,1.76,8.96,3.42,Conditional,0.398,13,10,True,False
HTA0852,NICE (UK),2021-10-28,2021,Medical Devices,Cardiology,16,2,5739,True,-0.05,0.024,0.3556,46896.8,50000,29741739.79,Moderate,5.28,5.63,2.87,Conditional,0.543,12,11,True,False
HTA0853,NCPE (Ireland),2023-03-09,2023,Medical Devices,Endocrinology,18,2,3146,True,0.725,0.1761,0.3461,56703.45,100000,24029820.15,Low,9.29,2.65,8.23,Restricted,0.643,4,11,True,False
HTA0854,CADTH (Canada),2018-05-20,2018,Gene Therapy,Respiratory,13,12,9906,True,1.051,0.2272,0.3265,136815.52,100000,22606458.42,Moderate,8.58,2.0,8.15,Restricted,0.555,8,5,True,False
HTA0855,CVZ (Netherlands),2022-02-16,2022,Immunotherapy,Respiratory,13,2,1356,True,1.746,0.1687,0.2037,56317.07,100000,75681566.18,Moderate,8.09,7.12,6.2,Restricted,0.611,6,10,True,False
HTA0856,CVZ (Netherlands),2024-11-19,2024,Medical Devices,Respiratory,10,7,4375,False,-0.1,0.0973,0.2963,30916.03,100000,36969024.87,Moderate,6.41,2.46,5.94,Conditional,0.643,14,3,False,False
HTA0857,NCPE (Ireland),2023-07-10,2023,Rehabilitation Technologies,Immunology,7,6,9343,True,1.02,0.1503,0.0733,99461.58,100000,49398700.31,Moderate,8.5,4.08,2.57,Restricted,0.666,8,19,True,False
HTA0858,SMC (Scotland),2018-01-19,2018,Digital Health,Hematology,17,5,518,False,-0.294,0.1366,0.1214,22499.83,100000,51588682.4,High,6.29,1.28,1.96,Conditional,0.52,17,3,True,False
HTA0859,SMC (Scotland),2018-03-23,2018,Surgical Procedures,Hematology,5,14,236,False,0.406,0.2141,0.3386,113019.95,100000,63709771.1,Low,8.26,6.96,3.95,Restricted,0.613,5,0,False,False
HTA0860,NCPE (Ireland),2019-09-14,2019,Pharmaceuticals,Hematology,7,8,1092,False,-0.152,0.0343,0.1853,132631.27,100000,98072853.26,Moderate,8.98,5.59,7.45,Restricted,0.514,23,18,False,False
HTA0861,IQWIG (Germany),2020-04-28,2020,Medical Devices,Neurology,15,0,9362,False,0.488,0.1932,0.2508,114708.41,100000,28050405.53,Moderate,6.89,8.85,9.73,Recommended,0.868,17,11,False,False
HTA0862,CVZ (Netherlands),2021-04-11,2021,Gene Therapy,Oncology,8,14,453,True,2.306,0.217,0.1499,27773.54,100000,45459707.76,Moderate,7.14,9.7,4.27,Restricted,0.519,23,6,True,False
HTA0863,CADTH (Canada),2020-02-07,2020,Screening Programs,Immunology,5,10,6489,True,1.884,0.2235,0.2139,135137.48,100000,51277157.2,Low,9.81,3.12,2.52,Restricted,0.603,5,16,False,False
HTA0864,SMC (Scotland),2021-09-14,2021,Immunotherapy,Cardiology,11,1,1592,True,-0.083,0.2435,0.2051,142454.33,100000,14331233.74,Low,6.56,8.38,6.41,Restricted,0.789,17,6,True,False
HTA0865,HAS (France),2019-12-03,2019,Screening Programs,Oncology,7,5,3870,True,1.594,0.1502,0.207,37396.96,100000,31657349.81,Low,3.02,6.6,6.31,Restricted,0.791,5,5,True,False
HTA0866,NCPE (Ireland),2023-03-11,2023,Preventive Interventions,Respiratory,14,9,5687,True,2.362,0.2142,0.1531,6093.46,100000,30369060.44,Moderate,9.01,9.7,1.63,Restricted,0.641,20,6,False,False
HTA0867,NCPE (Ireland),2021-02-15,2021,Rehabilitation Technologies,Respiratory,23,10,6505,False,-0.051,0.2245,0.353,68569.35,100000,38733188.21,Very Low,7.44,9.35,8.17,Recommended,0.922,6,6,False,False
HTA0868,CVZ (Netherlands),2021-08-23,2021,Gene Therapy,Endocrinology,4,10,569,False,0.257,0.0556,0.1664,20775.4,100000,60618637.96,Low,6.5,2.62,5.92,Restricted,0.75,13,12,False,False
HTA0869,SMC (Scotland),2020-08-06,2020,Gene Therapy,Cardiology,11,12,6604,True,1.069,0.0617,0.3015,17293.19,100000,57759047.6,Low,9.23,5.74,2.23,Restricted,0.672,16,8,False,False
HTA0870,TLV (Sweden),2022-09-10,2022,Medical Devices,Oncology,8,6,225,True,1.27,0.1149,0.0584,139042.17,100000,2046120.34,Low,9.66,3.14,3.29,Restricted,0.5,22,6,True,False
HTA0871,TLV (Sweden),2021-05-12,2021,Diagnostic Tests,Endocrinology,3,3,1928,False,-0.042,0.1643,0.0861,136147.24,100000,57291817.14,Low,8.15,3.31,5.76,Restricted,0.788,5,4,True,False
